	Name	Classification	H8_L_Gam	H8_L_Avg	H8_L_Cont	H8_L_Strength	H8_R_Gam	H8_R_Avg	H8_R_Cont	H8_R_Strength	Hep_L_Gam	Hep_L_Avg	Hep_L_Cont	Hep_L_Strength	Hep_R_Gam	Hep_R_Avg	Hep_R_Cont	Hep_R_Strength	Hdel_L_Gam	Hdel_L_Avg	Hdel_L_Cont	Hdel_L_Strength	Hdel_R_Gam	Hdel_R_Avg	Hdel_R_Cont	Hdel_R_Strength	Hgam_L_Gam	Hgam_L_Avg	Hgam_L_Cont	Hgam_L_Strength	Hgam_R_Gam	Hgam_R_Avg	Hgam_R_Cont	Hgam_R_Strength	Hb_L_Gam	Hb_L_Avg	Hb_L_Cont	Hb_L_Strength	Hb_R_Gam	Hb_R_Avg	Hb_R_Cont	Hb_R_Strength
0	HD024431_20171211.txt	O9III	5.838519576787561	3889.8289871041666	1.0234106186080951	2.4406504680139953	4.864661160807126	3888.8154800410275	1.016348728070122	2.4353033513736366	5.536665824839105	3970.508943628224	1.0275788320990575	2.7499968681333766	6.953654826171353	3970.12007121604	1.0392645531385611	3.9456063464896745	5.156722942638181	4102.370835850124	0.9725540339490533	2.5588121259851375	7.395899835676171	4102.281909288925	0.9709910175133569	3.7675780381046087	5.799694532900041	4340.899767249829	1.047653253581216	3.0494363982671087	4.490769754047275	4340.2197277234545	1.0349510919319829	2.410104782236901	5.793726506606065	4860.537898890797	1.0453089960265585	3.8778259952337737	5.299941399039454	4860.848518015703	1.0426090750915622	3.1144260707839653
1	HD028446A_20171211.txt	O9III	4.8131040422492966	3890.808454283188	1.027776427641042	1.8067503000079206	6.494739076213413	3888.752418255868	1.0241748746766184	2.7282997283304984	5.515604989044613	3971.391007625634	1.0355435266352753	2.312019377227818	8.551171288250208	3969.5559186514324	1.0533745558567364	4.106096880731114	5.711358037629688	4102.717058929963	0.9700646310617297	2.1859044807585293	8.488293220865538	4101.527694272428	0.9743771615779286	3.351884846913122	7.894397125325298	4341.202363834939	1.0519779897859023	3.222850629630113	6.475469964191085	4339.7685937887945	1.0394743452639377	2.774575404394817	6.560248870659679	4861.208481312528	1.0320491516769983	2.6137653214784136	7.572168082911404	4859.728913792812	1.0327668487062693	3.3899103332462093
2	HD214680_20171009.txt	O9V	5.445008408708154	3890.061125279884	1.0312186211690364	2.486263180685658	5.172242965915099	3889.004231845167	1.017798134226656	2.8308266589362483	5.215124692142576	3970.747801147306	1.0287387475255934	2.813141398665769	7.8132641537681335	3970.799007895446	1.046879003261351	4.96073977525425	4.385561455616592	4102.570351506299	0.9762199129459844	2.4967791452282233	6.886696166944385	4102.64043775597	0.9812377408869096	4.097203221358231	5.5835943316049566	4340.734688897424	1.0762159583741255	3.5596695375812706	5.046323023320259	4340.645311108263	1.0632867852978456	3.2153494571483243	6.122764281110691	4860.194466399636	1.0507880236059157	5.027203738649725	5.875866405673235	4861.078334069377	1.043507986613042	3.7625190625268976
3	HD149757_20180618.txt	O9.2IV	5.870416039490574	3891.129765229981	1.0283060040875278	1.896069062479586	7.6271360130091335	3888.7334243402265	1.046481543965115	3.074838576508234	6.088068879927347	3972.0660820946273	1.0089304061783013	2.1439997184350665	9.888501869843406	3969.8515014847344	1.0437089794592973	4.243990159635358	7.959277873133783	4103.066987057215	0.9772481952944851	3.0145350500231913	9.139315911690256	4102.138547188371	0.972679294394822	3.6440556086041402	8.567151139935168	4342.544122478427	1.0824034698083522	3.3929403393693245	6.373143858847653	4339.968128053807	1.0629543618729662	2.396825142290833	6.17791204389233	4862.766689232538	1.0522211808611022	2.008163765358774	8.469433429303608	4859.576207476099	1.0704584999221127	3.470352067628203
4	HD093521_20180303.txt	O9.5III	6.281696842935058	3891.2470039343193	1.033969348585006	1.9787595897993617	7.373837356908831	3888.6629212144644	1.0533648785198546	2.6913484949024515	6.794095458234721	3971.885018303349	1.0155055743975843	2.2747745496951777	9.497401838621489	3969.7028781979516	1.0501613377751147	3.9781182682969174	8.235260779520418	4102.695269953993	0.9759689837519755	3.017091419695713	11.683780257520485	4102.189391219389	0.9855776987337832	4.655090814753485	0.0	0.0	0.0	0.0	6.658585187400408	4339.6263768368035	1.0654375622647363	2.2658028296739	5.822243709058055	4862.79730049813	1.0514813358055473	2.0094492113996827	7.640181768083503	4859.911493012624	1.0549836700131698	2.9142485844327326
5	HD202214_20170922.txt	O9.5IV	6.003027695519235	3889.5722872326037	1.0538630714273627	3.362029338084379	4.886443370140413	3889.070605337755	1.0119812957953556	2.86423563028944	5.187083363598985	3970.950937590119	1.0315669876389868	2.8711731773118916	6.936148430654052	3970.362642204223	1.0503075052529205	4.775647556084855	4.80040997106398	4102.339163039332	0.9619845788364255	2.805982700411352	6.960986020020604	4102.887044912967	0.969956918985666	4.631501682914428	7.155221056573592	4339.364594022875	1.070791631996816	5.8288872294890455	5.308913443239335	4340.760039964165	1.0519436579845614	3.5450946562511554	6.380585535518394	4860.467257315226	1.0511476272032905	4.904275490123975	5.976706420401929	4861.224007961115	1.0487930681795652	3.865185101923632
6	HD206183_20171025.txt	O9.5IV-V	6.356060111565886	3889.789017017386	1.0245555618806053	3.1354946245833095	5.87038202727532	3888.49659670305	1.0068999205485367	3.347679304330953	6.230800540604256	3970.7834457408076	1.0249810239646733	3.3894569055321213	7.649029873178885	3970.0017848145044	1.0405298560307024	4.863761574628274	5.706307285444607	4102.669678398429	0.9818448314119689	3.2000214923594283	7.373726509766834	4102.620027068045	0.9876320094791766	4.333277169569135	7.1048575608601015	4341.39330400949	1.0578163683005235	4.22327186222755	5.443044706819433	4340.896305685324	1.0421561364072645	3.1766665565440864	7.143537379320365	4859.7788070976285	1.0440137309974746	6.388622416002208	6.462362327312991	4861.489114022357	1.0372754927416457	4.153010358617331
7	HD034078_20171211.txt	O9.5V	5.255745047867434	3890.0529334371167	1.0233922846862793	2.644900266292742	5.677291748236192	3888.969666397533	1.0168213233940353	3.188868343454211	5.96344338444554	3970.835741981335	1.0368759348636087	3.4082528005511774	8.84088374778907	3971.0055722420016	1.0598402483764437	5.78231699823302	5.497797172897126	4102.693609582132	0.9690972096231047	3.057610172496691	7.003234147118976	4103.0020876440985	0.9645086878337421	4.167652575196041	6.323133374967762	4341.323087032358	1.0429784812416822	3.6627895020575885	5.17288235072007	4340.850918980294	1.0316262781747185	3.0323851275013998	6.523284635692349	4859.603751039176	1.033800621818107	5.811337372731835	6.190678043311212	4861.098784164726	1.0269664010695785	3.960859143270452
8	HD189957_20170910.txt	O9.7III	6.315237393380015	3888.5050975566805	1.0275038866389938	3.2934238729284955	4.910405225988842	3888.5163912454013	0.99277444962825	2.4443969792957687	4.836513365969738	3970.6223342849134	1.0212913499777894	2.1447432333622487	6.645438052122947	3969.7323912303805	1.037912687804001	3.6845926622523004	4.208162374968634	4102.376172320113	0.9656621248952914	2.0486546630988047	7.390333274345745	4103.673881499889	0.9695384505362973	4.666747373587556	6.0717481532271105	4340.270975669985	1.0931039700440413	3.928881416398227	3.9069520574047547	4340.509399675956	1.0674624167643951	2.140808684754059	5.125888194262451	4861.245307065775	1.0486370874079125	2.608830406504484	5.387136162704272	4860.661050883909	1.053921892480626	3.031417390794022
9	HD209339_20171009.txt	O9.7IV	6.440208277920511	3889.2343645508718	1.0303351613379512	3.243561807679179	5.448690623269285	3888.6646672083525	0.994173155122007	2.8499313681643716	5.422724880760209	3970.7287515317803	1.0255791047756027	2.734887219995269	7.355945536536398	3969.8684765564726	1.0429915809524148	4.466066872258101	5.239358215893084	4102.198977235785	0.9646450795118346	2.769856484929231	7.791628739212939	4102.728800624397	0.9687360956755824	4.3717212407051065	6.730477991965177	4340.526047306774	1.0592498022336596	4.20057740382731	5.518770096925332	4340.659397715328	1.0442173997343391	3.1936375569854882	6.496790064707294	4861.259638913601	1.040067335100801	3.8732244516696936	6.2287888395912665	4861.246933377999	1.042801882563256	3.610735532218397
